Time;69_10;69_36;69_49;69_62;69_75;69_88;69_101;69_790;69_894;69_933;69_946
17.01.2023 09:46:22.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:22.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.770000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.870000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:23.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.770000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.870000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:24.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.770000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.820000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.870000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.920000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:25.970000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.020000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.070000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.120000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.170000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.220000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.270000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.320000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.370000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.420000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.470000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.520000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.570000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.620000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.670000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.720000;1;1;1;1;1;1;1;0;1;1;0
17.01.2023 09:46:26.770000;1;1;1;1;1;1;1;0;1;1;0
